Inference for Stan model: anon_model_bc96f3f32db6b63e3e6830908631d52a.
1 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=1000.

           mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
X[202,0] 1691.6  4.1e-3   0.13 1691.4 1691.6 1691.6 1691.7 1691.9   1000    1.0
X[203,0] 1700.0  4.7e-3   0.15 1699.7 1699.9 1700.0 1700.0 1700.3   1000    1.0
X[204,0] 1708.3  4.1e-3   0.13 1708.0 1708.2 1708.3 1708.3 1708.6   1000    1.0
X[205,0] 1716.6  4.0e-3   0.13 1716.4 1716.6 1716.6 1716.7 1716.9   1000    1.0
X[206,0] 1725.0  4.1e-3   0.13 1724.7 1724.9 1725.0 1725.0 1725.2   1000    1.0
X[207,0] 1733.3  4.1e-3   0.13 1733.0 1733.2 1733.3 1733.4 1733.6   1000    1.0
X[208,0] 1741.6  4.4e-3   0.14 1741.3 1741.6 1741.6 1741.7 1741.9   1000    1.0
X[209,0] 1749.9  4.0e-3   0.13 1749.7 1749.9 1749.9 1750.0 1750.2   1000    1.0
X[210,0] 1758.3  4.3e-3   0.14 1758.0 1758.2 1758.3 1758.3 1758.5   1000    1.0
X[211,0] 1766.6  4.1e-3   0.13 1766.4 1766.5 1766.6 1766.7 1766.9   1000    1.0
X[212,0] 1775.0  4.2e-3   0.13 1774.7 1774.9 1775.0 1775.0 1775.3   1000    1.0
X[213,0] 1783.3  4.1e-3   0.13 1783.0 1783.2 1783.3 1783.3 1783.5   1000    1.0
X[214,0] 1791.6  4.0e-3   0.13 1791.3 1791.5 1791.6 1791.7 1791.8   1000    1.0
X[215,0] 1799.9  4.4e-3   0.14 1799.6 1799.9 1799.9 1800.0 1800.2   1000    1.0
X[216,0] 1808.3  4.3e-3   0.14 1808.0 1808.2 1808.3 1808.4 1808.5   1000    1.0
X[217,0] 1816.6  4.4e-3   0.14 1816.4 1816.5 1816.6 1816.7 1816.9   1000    1.0
X[218,0] 1824.9  4.3e-3   0.14 1824.6 1824.9 1824.9 1825.0 1825.2   1000    1.0
X[219,0] 1833.3  4.1e-3   0.13 1833.0 1833.2 1833.3 1833.3 1833.6   1000    1.0
X[220,0] 1841.6  3.9e-3   0.12 1841.4 1841.6 1841.6 1841.7 1841.9   1000    1.0
X[221,0] 1850.0  4.2e-3   0.13 1849.7 1849.9 1849.9 1850.0 1850.2   1000    1.0
X[222,0] 1858.3  4.2e-3   0.13 1858.1 1858.2 1858.3 1858.4 1858.6   1000    1.0
X[223,0] 1866.7  4.3e-3   0.14 1866.4 1866.6 1866.7 1866.7 1866.9   1000    1.0
X[224,0] 1874.9  4.4e-3   0.14 1874.7 1874.9 1874.9 1875.0 1875.2   1000    1.0
X[225,0] 1883.3  4.4e-3   0.14 1883.0 1883.2 1883.3 1883.4 1883.6   1000    1.0
X[226,0] 1891.6  4.1e-3   0.13 1891.3 1891.5 1891.6 1891.7 1891.9   1000    1.0
X[227,0] 1900.0  4.2e-3   0.13 1899.7 1899.9 1900.0 1900.0 1900.2   1000    1.0
X[228,0] 1908.3  4.6e-3   0.14 1908.0 1908.2 1908.3 1908.4 1908.6   1000    1.0
X[229,0] 1916.6  4.6e-3   0.15 1916.3 1916.5 1916.6 1916.7 1916.9   1000   1.01
X[230,0] 1925.0  4.5e-3   0.14 1924.7 1924.9 1925.0 1925.0 1925.3   1000    1.0
X[231,0] 1933.3  4.0e-3   0.13 1933.0 1933.2 1933.3 1933.4 1933.5   1000    1.0
X[232,0] 1941.6  4.3e-3   0.14 1941.3 1941.6 1941.6 1941.7 1941.9   1000    1.0
X[233,0] 1949.9  4.1e-3   0.13 1949.7 1949.9 1950.0 1950.0 1950.2   1000    1.0
X[234,0] 1958.3  4.4e-3   0.14 1958.0 1958.2 1958.3 1958.4 1958.6   1000    1.0
X[235,0] 1966.6  4.0e-3   0.13 1966.4 1966.6 1966.6 1966.7 1966.9   1000    1.0
X[236,0] 1975.0  4.1e-3   0.13 1974.7 1974.9 1975.0 1975.0 1975.3   1000    1.0
X[237,0] 1983.3  4.2e-3   0.13 1983.0 1983.2 1983.3 1983.4 1983.6   1000    1.0
X[238,0] 1991.6  3.8e-3   0.12 1991.4 1991.6 1991.6 1991.7 1991.9   1000    1.0
X[239,0] 1999.9  4.4e-3   0.14 1999.7 1999.9 1999.9 2000.0 2000.2   1000    1.0
X[240,0] 2008.3  4.5e-3   0.14 2008.0 2008.2 2008.3 2008.4 2008.6   1000    1.0
X[241,0] 2016.6  4.1e-3   0.13 2016.4 2016.5 2016.6 2016.7 2016.9   1000    1.0
X[242,0] 2025.0  4.1e-3   0.13 2024.7 2024.9 2025.0 2025.0 2025.2   1000    1.0
X[243,0] 2033.3  3.9e-3   0.12 2033.0 2033.2 2033.3 2033.3 2033.5   1000    1.0
X[244,0] 2041.6  4.2e-3   0.13 2041.4 2041.5 2041.6 2041.7 2041.9   1000    1.0
X[245,0] 2050.0  4.5e-3   0.14 2049.7 2049.9 2050.0 2050.0 2050.2   1000    1.0
X[246,0] 2058.3  4.3e-3   0.14 2058.0 2058.2 2058.3 2058.4 2058.6   1000    1.0
X[247,0] 2066.6  4.1e-3   0.13 2066.4 2066.6 2066.6 2066.7 2066.9   1000    1.0
X[248,0] 2075.0  4.0e-3   0.13 2074.7 2074.9 2075.0 2075.0 2075.2   1000    1.0
X[249,0] 2083.3  4.1e-3   0.13 2083.1 2083.2 2083.3 2083.4 2083.6   1000    1.0
X[0,1]    11.65  4.1e-3   0.13  11.41  11.59  11.65  11.71  11.92   1000    1.0
X[1,1]    23.32  4.1e-3   0.13  23.07  23.25  23.32  23.39  23.59   1000    1.0
X[2,1]     35.0  4.3e-3   0.13  34.72  34.93   35.0  35.07  35.29   1000    1.0
